id,orga
89,University of Barcelona Faculty of Geography and History
92,Stockholm University
101,Environment Canada
103,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
104,University of Alcalá de Henares
105,University of Texas at El Passo
108,The University of British Columbia
109,University of Basel
99,University of Alaska Fairbanks Water and Environmental Research Center
96,"University of Zurich, Departement of Geography"
100,University of Alaska Fairbanks Institute of Northern Engineering
112,Maria Curie-Sklodowska University
110,Lund University Department of Physical Geography and Ecosystem Science
111,"Nicolaus Copernicus University, Institute of Geography "
113,The University Centre in Svalbard
114,"Komarov Botanical Institute, RAS"
115,Chukotsky Filial Branch of the North-East Complex Research Institute RAS
116,"Center for Forest Ecology and Productivity, RAS"
119,"Institute of Biology, Komi Scientific Centre, Ural Branch, RAS"
117,Chukotsky Filial Branch of the North-East Complex Research Institute RAS
120,Moscow State University
118,Melnikov Permafrost Institute of the Siberian Branch of the RAS
122,Hokkaido University
125,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
127,Agriculture and Agri-Food Canada
129,Yukon River Inter-Tribal Watershed Council
121,Melnikov Permafrost Institute of the Siberian Branch of the RAS
123,The Macaulay Land Use Research Institute
124,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
131,NPS Central Alaska Network Inventory & Monitoring Program
130,Yukon River Inter-Tribal Watershed Council
135,University of Michigan
132,University of Alaska Fairbanks Institute of Northern Engineering
134,Bonanza Creek Long Term Ecological Research 
137,Melnikov Permafrost Institute of the Siberian Branch of the RAS
133,U.S. Army - Cold Regions Research and Engineering Laboratory
138,POLYARNOURALGEOLOGIYA
141,University of Alaska Fairbanks Geophysical Institute
139,Institute of the Earth Cryosphere of the Siberian Branch of the RAS
136,Geological Survey of Canada
146,Oslo University
142,Natural Resources Conservation Service
143,Zentralanstalt für Meteorologie und Geodynamik
147,Adam Mickiewicz University Institute of Geoecology and Geoinformation
148,University of Wroclaw Institute of Geography and Regional Development
150,Melnikov Permafrost Institute of the Siberian Branch of the RAS
144,Asiaq
152,Moscow State University
151,alpS - Centre for Climate Change Adaptation
157,Institut de Géographie Alpine - Université de Grenoble Alpes
155,Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto
156,"Institute of the Earth's Crust of the Russian Academy of Sciences, Siberian Branch"
158,"Carleton University, Dept of Geography and Environmental Studies"
159,University of Graz
149,"Luleå University of Technology Department of Civil, Environmental and Natural Resources"
160,Agenzia Regionale per la Protezione dell'Ambiente della Valle d'Aosta
163,Far East Complex Research Scientific Institute RAS
166,Institute of Physicochemical and Biological Problems of Soil Science of the RAS
164,National Snow and Ice Data Center
168,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research
167,Moscow State University
180,"Masaryk University, Department of Geography"
178,University of Barcelona Faculty of Geography and History
174,EDYTEM - Université de Savoie Mont Blanc
179,Cold and Arid Regions Environmental and Engineering Research Institute
181,Arctic Research Center
